tm_id,name,club,nat1,nat2,age,position,market_value,tracked
810188,David Okagbue,Peterborough United,Ireland,Nigeria,22,,€325k,yes
818897,Kyle Degelman,Chanmari FC,Ireland,Canada,22,,€25k,
838367,James Storer,Plymouth Argyle,Ireland,England,21,,€75k,yes
841121,John Patrick,Stade Reims,Ireland,Spain,69,,€800k,
854930,Jacob Slater,Tranmere Rovers,Ireland,England,21,,€150k,yes
863741,Nathan Fraser,Wolverhampton Wanderers,Ireland,England,82,,€600k,
867909,Harry Vaughan,Bohemian Football Club,Ireland,England,22,,€400k,yes
875208,Johnny Kenny,Celtic FC,Ireland,,51,,€1.20m,yes
875235,Seán Grehan,Doncaster Rovers,Ireland,,22,,€200k,yes
877192,Harry Groome,Dundalk FC,Ireland,,24,,€125k,yes
877211,Success Edogun,Ballymena United FC,Ireland,Nigeria,25,,€200k,
877215,David Toure,Ballymena United FC,Ireland,Cote d'Ivoire,21,,€200k,
877759,Kian Corbally,Dunfermline Athletic FC,Ireland,,22,,€200k,yes
878277,Ed McCarthy,Galway United FC,Ireland,,25,,€125k,
884910,Peter Maguire,Glenavon FC,Ireland,,23,,€50k,
886909,Issa Kargbo,Colwyn Bay,Ireland,Sierra Leone,24,,€50k,
888899,Mayowa Animasahun,Dundalk FC,Ireland,Nigeria,23,,€125k,yes
900601,Alex Murphy,1.FC Kaiserslautern,Ireland,,45,,€1.50m,yes
916542,Millenic Alli,Charlton Athletic,Ireland,England,46,,€1.50m,yes
921513,Joe Gardner,Falkirk FC,Ireland,England,21,,€200k,yes
928473,Josh O'Brien,Indy Eleven,Ireland,United States,23,,€150k,
929715,Connor O'Riordan,Blackburn Rovers,Ireland,Scotland,83,,€600k,yes
941420,Jack O'Reilly,Inchicore Athletic,Ireland,,22,,€75k,
943549,Mark O'Mahony,Brighton & Hove Albion U21,Ireland,,21,,€375k,
943560,Franco Umeh,Portsmouth FC,Ireland,Nigeria,92,,€500k,
944090,Luke Browne,Notts County,Ireland,,20,,€50k,
944140,Trent Koné-Doherty,Molde FK,Ireland,Northern Ireland,84,,€600k,yes
944742,Owen Mason,Bromley FC,Ireland,,22,,€50k,yes
950288,James Golding,Oxford United,Ireland,England,22,,€100k,
953139,Kieran Cruise,Drogheda United FC,Ireland,,22,,€100k,yes
953933,Jack Moorhouse,Manchester United U21,Ireland,England,20,,€100k,
955724,Sean Moore,Shelbourne FC,Ireland,Northern Ireland,21,,€125k,yes
957295,Naj Razi,Shamrock Rovers,Ireland,Algeria,19,,€275k,yes
957316,Freddie Turley,Dunfermline Athletic FC,Ireland,,20,,€25k,yes
957327,Cory O'Sullivan,Shamrock Rovers,Ireland,,20,,€250k,yes
960538,Daniel McGrath,Without ClubWithout Club,Ireland,Brazil,20,,€100k,
961075,Glenn McConnell,Cambridge United,Ireland,Brazil,21,,€75k,
966649,Connor O'Brien,Accrington Stanley,Ireland,England,22,,€200k,
967162,Jad Hakiki,Sligo Rovers,Ireland,Algeria,22,,€200k,yes
967382,Len O'Sullivan,Ross County FC,Ireland,,22,,€75k,
972827,Jimmy Mwanga,Without ClubWithout Club,Ireland,South Africa,27,,€150k,
981903,Bridel Bosakani,Finn Harps,Ireland,Congo,22,,€75k,yes
983805,Ivan Savshak,Orvietana Calcio,Ireland,Ukraine,21,,€50k,
983806,Sean McHale,St. Patrick's Athletic,Ireland,,21,,€125k,yes
983810,Senan Mullen,Bohemian Football Club,Ireland,,21,,€275k,yes
990836,Romeo Akachukwu,Southampton FC U21,Ireland,Nigeria,20,,€150k,
993050,Gbemi Arubi,Burton Albion,Ireland,Nigeria,22,,€200k,yes
995598,Cian Byrne,Bohemian Football Club,Ireland,,23,,€125k,yes
1005766,Mason Melia,Lincoln City,Ireland,,60,,€1.00m,yes
1005776,Cathal O'Sullivan,Preston North End U21,Ireland,,19,,€125k,yes
1018097,Shane Tracey,Dundalk FC,Ireland,,20,,€100k,yes
1025248,Lewis Temple,Oldham Athletic,Ireland,,21,,€100k,yes
1039207,Josh Ukek,Larne FC,Ireland,,27,,€100k,
1039810,Ronan Maher,Walsall FC,Ireland,India,21,,€75k,yes
1041609,Harvey Warren,Dundalk FC,Ireland,,22,,€125k,yes
1061560,John O'Sullivan,Shamrock Rovers,Ireland,,20,,€100k,yes
