slug,name,club,league,tier,pos,ireland_level
billy-hayes,Billy Hayes,St. Patrick's Athletic,League of Ireland,loi,FWD,
billy-oneill,Billy O'Neill,Bray Wanderers,League of Ireland,loi,FWD,U19
bobby-keohan,Bobby Keohan,Waterford FC,League of Ireland,loi,DEF,
bosun-lawal,Bosun Lawal,Stoke City,,abroad-lower,MID,Senior
brandon-kavanagh,Brandon Kavanagh,Drogheda United,League of Ireland,loi,MID,
brian-maher,Brian Maher,Derry City,League of Ireland,loi,GK,
brody-lee,Brody Lee,Cork City,League of Ireland,loi,FWD,U19
callum-downey,Callum Downey,Derry City,League of Ireland,loi,MID,
callum-lynch,Callum Lynch,Sligo Rovers,League of Ireland,loi,FWD,
callum-odowda,Callum O'Dowda,Cardiff City,,abroad-lower,MID,Senior
calum-donnelly,Calum Donnelly,Drogheda United,League of Ireland,loi,DEF,
caoimhin-kelleher,Caoimhín Kelleher,Brentford,,abroad-lower,GK,Senior
carl-mchugh,Carl McHugh,Sligo Rovers,League of Ireland,loi,MID,
cathal-osullivan,Cathal O'Sullivan,Preston North End,,abroad-lower,MID,U21
charles-akinrintoyo,Charles Akinrintoyo,UCD,League of Ireland,loi,FWD,U19
charlie-mcgarvey,Charlie McGarvey,Sligo Rovers,League of Ireland,loi,GK,
chiedozie-ogbene,Chiedozie Ogbene,Coventry City,,abroad-lower,FWD,Senior
chris-forrester,Chris Forrester,St. Patrick's Athletic,League of Ireland,loi,MID,
christopher-atherton,Christopher Atherton,Chelsea,,abroad-lower,FWD,U19
christopher-conlan,Christopher Conlan,Bohemian FC,League of Ireland,loi,MID,
cian-barrett,Cian Barrett,Waterford FC,League of Ireland,loi,MID,
cian-byrne,Cian Byrne,Bohemian FC,League of Ireland,loi,DEF,
cian-dillon,Cian Dillon,Dundalk,League of Ireland,loi,FWD,
cian-kavanagh,Cian Kavanagh,Sligo Rovers,League of Ireland,loi,FWD,
cian-oconnor,Cian O'Connor,Drogheda United,League of Ireland,loi,MID,
cian-spaight,Cian Spaight,Dundalk,League of Ireland,loi,MID,
ciaran-kilduff,Ciarán Kilduff,Dundalk,League of Ireland,loi,,
ciaran-mullan,Ciaran Mullan,Derry City,League of Ireland,loi,MID,
cillian-campion,Cillian Campion,Shelbourne,League of Ireland,loi,GK,
cillian-murphy,Cillian Murphy,Cork City,League of Ireland,loi,FWD,U17
cillian-ryan,Cillian Ryan,Shelbourne,League of Ireland,loi,MID,
cillian-tollett,Cillian Tollett,Galway United,League of Ireland,loi,FWD,U19
colm-horgan,Colm Horgan,Galway United FC,League of Ireland,loi,DEF,
colm-whelan,Colm Whelan,Bohemian FC,League of Ireland,loi,FWD,
conal-mcdermott,Conal McDermott,Derry City,League of Ireland,loi,GK,
conall-alfred,Conall Alfred,Dundalk,League of Ireland,loi,MID,
conan-noonan,Conan Noonan,Waterford FC,League of Ireland,loi,MID,
connor-barratt,Connor Barratt,Galway United FC,League of Ireland,loi,DEF,
connor-oriordan,Connor O'Riordan,Blackburn Rovers,,abroad-lower,DEF,U21
connor-whittaker,Connor Whittaker,Galway United FC,League of Ireland,loi,MID,
conor-cannon,Conor Cannon,Sligo Rovers,League of Ireland,loi,MID,
conor-coventry,Conor Coventry,Charlton Athletic,,abroad-lower,MID,Senior
conor-gleeson,Conor Gleeson,Galway United FC,League of Ireland,loi,GK,
conor-james-mccormack,Conor James McCormack,Galway United FC,League of Ireland,loi,MID,
conor-kane,Conor Kane,Drogheda United,League of Ireland,loi,DEF,
conor-kearns,Conor Kearns,Dundalk,League of Ireland,loi,GK,
conor-keeley,Conor Keeley,Drogheda United,League of Ireland,loi,DEF,
conor-mcmanus,Conor McManus,Brentford,,abroad-lower,DEF,U21
conor-okeeffe,Conor O'Keeffe,Dundalk,League of Ireland,loi,DEF,
conor-reynolds,Conor Reynolds,Sligo Rovers,League of Ireland,loi,DEF,
conor-walsh,Conor Walsh,Shelbourne,League of Ireland,loi,GK,U21
corrie-ndaba,Corrie Ndaba,Ipswich Town,,abroad-lower,DEF,Senior
cory-osullivan,Cory O'Sullivan,Shamrock Rovers,League of Ireland,loi,DEF,U21
daire-patton,Daire Patton,Sligo Rovers,League of Ireland,loi,MID,
daithi-folan,Dáithí Folan,Dundalk,League of Ireland,loi,GK,
daniel-chukwu,Daniel Chukwu,St. Patrick's Athletic,League of Ireland,loi,MID,
daniel-cleary,Daniel Cleary,Shamrock Rovers,League of Ireland,loi,DEF,
daniel-grant,Daniel Grant,Shamrock Rovers,League of Ireland,loi,MID,
daniel-kelly,Daniel Kelly,Shelbourne,League of Ireland,loi,MID,
daniel-mandroiu,Daniel Mândroiu,Shamrock Rovers,League of Ireland,loi,MID,
daniel-mare,Daniel Mare,Drogheda United,League of Ireland,loi,FWD,
daniel-ring,Daniel Ring,Shelbourne,League of Ireland,loi,FWD,
daniel-rogers,Daniel Rogers,St. Patrick's Athletic,League of Ireland,loi,GK,
danny-burke,Danny Burke,Shamrock Rovers,League of Ireland,loi,DEF,U17
dara-mcguinness,Dara McGuinness,Galway United FC,League of Ireland,loi,FWD,
dara-oshea,Dara O'Shea,Ipswich Town,,abroad-lower,DEF,Senior
darius-lipsiuc,Darius Lipsiuc,Stoke City,,abroad-lower,MID,U21
darragh-brunton,Darragh Brunton,St Patrick's Athletic,League of Ireland,loi,GK,U17
darragh-burns,Darragh Burns,Derry City,League of Ireland,loi,FWD,
darragh-markey,Darragh Markey,Derry City,League of Ireland,loi,MID,
darragh-nugent,Darragh Nugent,St. Patrick's Athletic,League of Ireland,loi,MID,
darragh-power,Darragh Power,Bohemian FC,League of Ireland,loi,DEF,
daryl-horgan,Daryl Horgan,Dundalk,League of Ireland,loi,FWD,
david-dunne,David Dunne,Monaco,,abroad-lower,FWD,U17
david-hurley,David Hurley,Galway United FC,League of Ireland,loi,MID,
david-jonathan,David Jonathan,Sligo Rovers,League of Ireland,loi,DEF,
david-okagbue,David Okagbue,Peterborough United,,abroad-lower,DEF,U21
dawson-devoy,Dawson Devoy,Bohemians,League of Ireland,loi,MID,Senior
dayle-rooney,Dayle Rooney,Bohemian FC,League of Ireland,loi,FWD,
dean-mcmenamy,Dean McMenamy,Waterford FC,League of Ireland,loi,MID,
desmond-armstrong,Desmond Armstrong,Lorient,,abroad-lower,FWD,U17
donnacha-sammon,Donnacha Sammon,Galway United FC,League of Ireland,loi,FWD,
dylan-connolly,Dylan Connolly,Galway United FC,League of Ireland,loi,MID,
dylan-watts,Dylan Watts,Shamrock Rovers,League of Ireland,loi,MID,
ed-mcjannett,Ed McJannett,Cosenza,,,FWD,
edward-mccarthy,Edward McCarthy,Galway United FC,League of Ireland,loi,FWD,
edward-mcginty,Edward McGinty,Shamrock Rovers,League of Ireland,loi,GK,
edwin-agbaje,Edwin Agbaje,Drogheda United,League of Ireland,loi,DEF,
egor-vassenin,Egor Vassenin,Dundalk,League of Ireland,loi,DEF,
enda-minogue,Enda Minogue,Dundalk,League of Ireland,loi,GK,
enda-stevens,Enda Stevens,Shamrock Rovers,League of Ireland,loi,DEF,
eoghan-curran,Eoghan Curran,Derry City,League of Ireland,loi,DEF,
eoin-doyle,Eoin Doyle,Galway United FC,League of Ireland,loi,GK,
ethan-hall,Ethan Hall,Dundalk,League of Ireland,loi,DEF,
ethan-obrien,Ethan O'Brien,Drogheda United,League of Ireland,loi,MID,
evan-caffrey,Evan Caffrey,Shelbourne,League of Ireland,loi,MID,
evan-ferguson,Evan Ferguson,Brighton & Hove Albion,,abroad-lower,FWD,Senior
evan-mclaughlin,Evan McLaughlin,Waterford FC,League of Ireland,loi,MID,
festy-ebosele,Festy Ebosele,Watford,,abroad-lower,MID,Senior
finn-azaz,Finn Azaz,Middlesbrough,,abroad-lower,MID,Senior
finn-mcdonnell,Finn McDonnell,Bohemian FC,League of Ireland,loi,GK,
finn-moylan,Finn Moylan,Shelbourne,League of Ireland,loi,GK,
finn-sherlock,Finn Sherlock,Hoffenheim,,abroad-lower,DEF,U19
francely-lomboto,Francely Lomboto,Galway United FC,League of Ireland,loi,FWD,
gabriel-kelly,Gabriel Kelly,Stoke City,,abroad-lower,MID,U21
gareth-mcelroy,Gareth McElroy,Sligo Rovers,League of Ireland,loi,DEF,
gary-oneil,Gary O'Neil,Shamrock Rovers,League of Ireland,loi,MID,
gavin-mcateer,Gavin McAteer,Finn Harps,League of Ireland,loi,MID,U19
gbemi-arubi,Gbemi Arubi,Dundalk,League of Ireland,loi,FWD,U21
