slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
bridel-bosakani,First Division,Finn Harps,1627,21,,,,,,,2025,5,0,0,0,38,1,0,28,5,0,5.96,auto
brody-lee,First Division,Cork City,2201,18,,,,,,U18:2:0:2026; U17:8:2:2024,2025,6,1,0,0,122,1,0,8,0,0,6.02,auto
brooks-lennon,Major League Soccer,Columbus Crew,6001,28,,Right,1,0,2018,U23:3:2:2019; U20:11:6:2017,2026,3,1,0,1,125,0,0,296,14,44,6.30,auto
callum-honohan,First Division,Cobh Ramblers,2383,20,,,,,,,,,,,,,,,17,1,0,,auto
callum-lynch,Premier Division,Sligo Rovers,6361,18,,Left,,,,,2026,1,0,0,0,12,0,0,1,0,0,5.89,auto
callum-marshall,League One,Luton Town,8346,21,,Left,16,0,2023,U21:2:0:2023; U19:5:4:2022,2026/27,2,0,1,0,48,0,0,74,14,5,6.78,auto
callum-odowda,NB I,Ferencváros,8222,31,,Left,32,1,2016,U21:8:3:2015,2026/27,2,1,0,0,118,1,0,416,31,33,,auto
calum-donnelly,Premier Division,Drogheda United,8339,19,,,,,,,,,,,,,,,,,,,auto
carl-mchugh,Premier Division,Sligo Rovers,6361,33,,,,,,U21:::2013; U19:5:0:2010,2026,23,20,1,1,1598,4,1,402,24,17,6.79,auto
cathal-heffernan,National League,Harrogate Town,7946,21,,,,,,U17:6:0:2021,2026/27,3,3,1,,270,0,0,25,2,0,,auto
charles-akinrintoyo,First Division,UCD,1578,18,,,,,,U18:2:0:2026; U17:4:2:2025,,,,,,,,,20,4,0,,auto
charles-dunne,Premiership,Coleraine,2202,33,,Left,,,,U21:1:0:2013,,,,,,,,,352,5,3,,auto
charlie-mcgarvey,Premier Division,Sligo Rovers,6361,16,,,,,,,,,,,,,,,,,,,auto
chris-forrester,Premier Division,St. Patrick's Athletic,1854,33,,Left,,,,,2026,20,8,3,1,895,1,0,580,97,26,6.74,auto
christopher-conlan,Premier Division,Bohemian FC,4594,19,,,,,,,,,,,,,,,1,0,0,,auto
cian-barrett,Premier Division,Waterford FC,6042,21,,,,,,,2026,12,5,0,0,385,2,0,66,1,0,6.40,auto
cian-byrne,Premier Division,Bohemian FC,4594,23,,,,,,,2026,18,11,1,0,1048,1,0,117,3,1,6.88,auto
cian-dillon,Premier Division,Dundalk,1853,20,,,,,,U21:1:0:2025; U19:6:2:2024,2026,4,4,0,0,285,1,0,24,5,0,6.30,auto
cian-kavanagh,Premier Division,Sligo Rovers,6361,23,,,,,,,2026,25,20,5,2,1739,2,0,155,27,6,6.66,auto
cian-oconnor,Premier Division,Drogheda United,8339,18,,,,,,,2026,1,0,0,0,3,0,0,1,0,0,,auto
cian-spaight,Premier Division,Dundalk,1853,19,,,,,,,,,,,,,,,,,,,auto
ciaran-kilduff,Premier Division,Dundalk,1853,37,,,,,,,2026/27,6,,0,0,540,,,332,120,1,,auto
cillian-murphy,First Division,Cork City,2201,17,,,,,,,,,,,,,,,,,,,auto
cillian-tollett,First Division,Athlone Town,2378,18,,Right,,,,U18:1:1:2026; U17:4:1:2024,2025,10,2,0,0,191,2,0,40,7,0,5.89,auto
colm-horgan,Premier Division,Galway United FC,520517,32,,,,,,U19:::2012; U17:3:0:2010,2025,11,3,0,0,220,1,0,359,5,2,6.44,auto
colm-whelan,Premier Division,Bohemian FC,4594,26,,,,,,U21:3:1:2021,2026,28,20,10,5,1837,0,0,155,68,6,6.80,auto
conall-alfred,Premier Division,Dundalk,1853,2025,,,,,,,,,,,,,,,,,,,auto
conan-noonan,Premier Division,Waterford FC,6042,23,,,,,,U21:1:0:2024,2026,26,23,1,3,2009,4,0,100,9,17,6.94,auto
connor-barratt,Premier Division,Galway United FC,520517,22,,,,,,U21:::2025,2026,18,16,0,0,1163,3,0,46,0,0,6.58,auto
connor-whittaker,Premier Division,Galway United FC,520517,2025,,,,,,,,,,,,,,,1,0,0,,auto
conor-cannon,Premier Division,Sligo Rovers,6361,20,,,,,,,2026,1,0,0,0,13,1,0,1,0,0,6.47,auto
conor-carty,National League,FC Halifax Town,10195,24,,,,,,U21:2:0:2023; U17:2:0:2019,2026/27,3,3,1,,210,0,0,104,13,2,,auto
conor-coventry,Championship,Charlton Athletic,8451,26,,Right,3,0,2021,U21:25:3:2019; U19:5:0:2018; U17:6:0:2016,2026/27,2,2,0,0,180,0,0,180,2,8,7.16,auto
conor-gleeson,Premier Division,Galway United FC,520517,33,,,,,,,,,,,,,,,77,0,0,,auto
conor-james-mccormack,Premier Division,Galway United FC,520517,36,,Right,,,,,2026,13,7,0,0,486,2,0,456,8,3,6.28,auto
conor-kane,Premier Division,Drogheda United,8339,27,,,,,,U19:1:0:2017,2026,28,27,0,1,2386,3,0,274,2,7,6.68,auto
conor-kearns,Premier Division,Dundalk,1853,28,,,,,,U21:1:0:2019,2026,6,,,,535,0,0,231,0,1,6.58,auto
conor-keeley,Premier Division,Drogheda United,8339,28,,,,,,,2026,26,26,2,1,2270,6,0,286,30,7,7.15,auto
conor-okeeffe,Premier Division,Dundalk,1853,32,,,,,,,2026,6,5,0,1,424,1,0,200,2,1,7.13,auto
conor-reynolds,Premier Division,Sligo Rovers,6361,20,,,,,,,2025,24,18,0,0,1400,6,1,31,0,0,6.83,auto
conor-walsh,Premier Division,Shelbourne,5751,21,,,,,,U21:1:0:2025; U19:::2023; U17:4:0:2021,2025,7,,,,545,1,0,33,0,0,6.47,auto
cory-osullivan,Premier Division,Shamrock Rovers,4131,20,,Left,,,,U21:2:0:2025; U19:6:0:2023; U17:10:0:2022,2026,16,14,0,2,1223,2,0,68,1,2,6.92,auto
daire-patton,Premier Division,Sligo Rovers,6361,20,,,,,,U19:1:0:2024,2026,22,17,1,0,1432,1,1,40,1,1,6.46,auto
daithi-folan,Premier Division,Dundalk,1853,21,,,,,,,,,,,,,,,,,,,auto
